id_posto,nome,latitude,longitude,endereco,cidade,estado,tipo_conector,potencia_kw,rede,preco_recarga,status_operacional,is_publico,fonte_dados
osm_4305047889,Balsa Leia,-1.9192939,-55.5156603,Avenida Siqueira Campos,Óbidos,PA,Não Informado,Não Informada,Independente,Não Informado,Ativo,True,OpenStreetMap
osm_4324626090,Auto Posto Porto,-15.851941,-58.4704355,Rua Durval SAnta Maria Lebre,Porto Esperidião,MT,Não Informado,Não Informada,Independente,Não Informado,Ativo,True,OpenStreetMap
osm_4380754491,Posto e Conveniência Celeiro,-12.0600494,-63.5575703,Rua Paulo Afonso,São Francisco do Guaporé,RO,Não Informado,Não Informada,Independente,Não Informado,Ativo,True,OpenStreetMap
osm_4391907990,Eletroposto Independente,-10.9875913,-38.8011237,Rodovia Santos Dumont,Tucano,BA,Não Informado,Não Informada,Independente,Não Informado,Ativo,True,OpenStreetMap
osm_4406374089,Petrobrás,-29.8487759,-51.1418072,Rua São Benedito,Sapucaia do Sul,RS,Não Informado,Não Informada,Petrobras,Não Informado,Ativo,True,OpenStreetMap
osm_4450584394,Ipiranga,-6.0716894,-49.8977085,Rua Liberdade,Parauapebas,PA,Não Informado,Não Informada,Ipiranga,Não Informado,Ativo,True,OpenStreetMap
osm_4493304798,posto Patrão,-10.876467,-61.9460593,Rua Seis de Maio,Ji-Paraná,RO,Não Informado,Não Informada,Independente,Não Informado,Ativo,True,OpenStreetMap
osm_4503244793,Pedropaulo,-2.8616839,-67.769798,Rua Getúlio Vargas,Tonantins,AM,Não Informado,Não Informada,Pedropaulo,Não Informado,Ativo,True,OpenStreetMap
osm_4503280690,Equador,-2.8605419,-67.7703995,Rua Duque de Caxias,Tonantins,AM,Não Informado,Não Informada,Equador,Não Informado,Ativo,True,OpenStreetMap
osm_4549319921,Auto posto Novo mundo,-8.7768771,-50.4689332,Avenida José Martins de Resende,Santa Maria das Barreiras,PA,Não Informado,Não Informada,Independente,Não Informado,Ativo,True,OpenStreetMap
osm_4556211697,Posto Paizão,-28.6356251,-53.610052,Rua General Felipe Portinho,Cruz Alta,RS,Não Informado,Não Informada,Shell Recharge,Não Informado,Ativo,True,OpenStreetMap
osm_4556251493,Posto Ipiranga,-28.6531775,-53.5892539,Avenida Saturnino de Brito,Cruz Alta,RS,Não Informado,Não Informada,Ipiranga,Não Informado,Ativo,True,OpenStreetMap
